Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1993,52.1602619489498,20.287092675434,2.75179586183873,1.40572318185168,2.37032483639894,4.60435029507644,1.0,50.7103261430005,3.54563216381481,20.0446187019752,76.488,10
1994,52.1445550097576,18.7960037621226,4.02902272904724,2.76110896950976,2.13519841812374,4.2152646751779,1.0,50.6603956134294,4.89854133804845,21.0554591617453,76.875,9
1995,51.9691102485906,19.7408464242136,2.68443073540719,1.46892917058395,2.09668848657614,3.8602457917389,1.0,50.6112779949862,6.59421797111052,22.4533816490568,77.257,8
1996,51.6754019155487,20.5835348178363,3.7727726858688,2.57246399417865,1.83076455933455,3.55498220635218,1.0,50.5612268677032,6.32428598750851,22.6870719902412,77.636,7
1997,51.2932387708189,21.5098249494927,4.44712794186451,3.19716561383218,1.72444795356148,3.40556224418855,1.0,50.5096341925737,6.60334742359249,23.4283278026178,78.008,6
1998,50.8653430749568,21.5698941494774,4.48313334577439,3.27222983411085,1.12386562495534,3.20155849896996,1.0,50.454504576304,7.14994526467848,22.8258939797637,78.377,5
1999,50.4451370434482,24.4574111759769,4.78842505322162,3.59198037783612,1.41509811709537,3.08567678324746,1.0,50.3966081677337,6.48726735143027,23.3135697296238,78.742,4
2000,50.0358331385231,26.6594195867123,4.07758575804293,2.92586254490257,2.26519517669861,3.11224214697679,1.0,50.3370422682904,6.8137924585142,25.1029855568536,79.057,3
2001,49.6385027806598,24.3005371666905,0.955538346430316,-0.038731925617185,2.25168991597403,3.12380980266703,1.0,50.2947750682911,4.56713894364996,22.9671830154975,79.234,2
2002,49.2523674393258,26.60412855113,1.70044732363073,0.761236853294676,1.55399465961345,3.44761809928778,1.0,50.2713507494489,3.0732472423635,22.2863842136065,79.409,1
2003,48.87487974038,27.726180617665,2.795605965883,1.91588247774337,1.9743147047601,3.82716104473623,1.0,50.2483324888128,2.10659449044537,22.6272972866813,79.583,0
